corner,point,x_mm,y_mm,z_mm
FL,UCA_IN_FRONT,120.000,175.000,308.580
FL,UCA_IN_REAR,-120.000,175.000,308.580
FL,UCA_OUT,-12.283,536.966,385.400
FL,LCA_IN_FRONT,130.000,175.000,117.383
FL,LCA_IN_REAR,-130.000,175.000,117.383
FL,LCA_OUT,10.061,582.000,130.000
FL,TIE_ROD_IN,-30.000,270.000,158.300
FL,TIE_ROD_OUT,84.591,590.294,178.750
FL,WHEEL_CENTER,0.000,620.000,245.000
FL,CONTACT_PATCH,0.000,620.000,0.000
FR,UCA_IN_FRONT,120.000,-175.000,308.580
FR,UCA_IN_REAR,-120.000,-175.000,308.580
FR,UCA_OUT,-12.283,-536.966,385.400
FR,LCA_IN_FRONT,130.000,-175.000,117.383
FR,LCA_IN_REAR,-130.000,-175.000,117.383
FR,LCA_OUT,10.061,-582.000,130.000
FR,TIE_ROD_IN,-30.000,-270.000,158.300
FR,TIE_ROD_OUT,84.591,-590.294,178.750
FR,WHEEL_CENTER,0.000,-620.000,245.000
FR,CONTACT_PATCH,0.000,-620.000,0.000
RL,UCA_IN_FRONT,-1160.000,175.000,321.905
RL,UCA_IN_REAR,-1480.000,175.000,321.905
RL,UCA_OUT,-1540.000,519.692,390.339
RL,LCA_IN_FRONT,-1140.000,175.000,129.529
RL,LCA_IN_REAR,-1480.000,175.000,129.529
RL,LCA_OUT,-1540.000,558.600,130.000
RL,TIE_ROD_IN,-1480.000,175.000,169.000
RL,TIE_ROD_OUT,-1594.600,520.810,183.530
RL,WHEEL_CENTER,-1540.000,600.000,245.000
RL,CONTACT_PATCH,-1540.000,600.000,0.000
RR,UCA_IN_FRONT,-1160.000,-175.000,321.905
RR,UCA_IN_REAR,-1480.000,-175.000,321.905
RR,UCA_OUT,-1540.000,-519.692,390.339
RR,LCA_IN_FRONT,-1140.000,-175.000,129.529
RR,LCA_IN_REAR,-1480.000,-175.000,129.529
RR,LCA_OUT,-1540.000,-558.600,130.000
RR,TIE_ROD_IN,-1480.000,-175.000,169.000
RR,TIE_ROD_OUT,-1594.600,-520.810,183.530
RR,WHEEL_CENTER,-1540.000,-600.000,245.000
RR,CONTACT_PATCH,-1540.000,-600.000,0.000
