corner,point,x_mm,y_mm,z_mm
FL,UCA_IN_FRONT,120.0,175.0,308.58
FL,UCA_IN_REAR,-120.0,175.0,308.58
FL,UCA_OUT,-12.283,536.966,385.4
FL,LCA_IN_FRONT,130.0,175.0,117.383
FL,LCA_IN_REAR,-130.0,175.0,117.383
FL,LCA_OUT,10.061,582.0,130.0
FL,TIE_ROD_IN,-30.0,270.0,158.3
FL,TIE_ROD_OUT,84.591,590.294,178.75
FL,WHEEL_CENTER,0.0,620.0,245.0
FL,CONTACT_PATCH,0.0,620.0,0.0
FR,UCA_IN_FRONT,120.0,-175.0,308.58
FR,UCA_IN_REAR,-120.0,-175.0,308.58
FR,UCA_OUT,-12.283,-536.966,385.4
FR,LCA_IN_FRONT,130.0,-175.0,117.383
FR,LCA_IN_REAR,-130.0,-175.0,117.383
FR,LCA_OUT,10.061,-582.0,130.0
FR,TIE_ROD_IN,-30.0,-270.0,158.3
FR,TIE_ROD_OUT,84.591,-590.294,178.75
FR,WHEEL_CENTER,0.0,-620.0,245.0
FR,CONTACT_PATCH,0.0,-620.0,0.0
RL,UCA_IN_FRONT,-1160.0,175.0,321.905
RL,UCA_IN_REAR,-1480.0,175.0,321.905
RL,UCA_OUT,-1540.0,519.692,390.339
RL,LCA_IN_FRONT,-1140.0,175.0,129.529
RL,LCA_IN_REAR,-1480.0,175.0,129.529
RL,LCA_OUT,-1540.0,558.6,130.0
RL,TIE_ROD_IN,-1675.0,291.0,153.76
RL,TIE_ROD_OUT,-1594.6,520.81,183.53
RL,WHEEL_CENTER,-1540.0,600.0,245.0
RL,CONTACT_PATCH,-1540.0,600.0,0.0
RR,UCA_IN_FRONT,-1160.0,-175.0,321.905
RR,UCA_IN_REAR,-1480.0,-175.0,321.905
RR,UCA_OUT,-1540.0,-519.692,390.339
RR,LCA_IN_FRONT,-1140.0,-175.0,129.529
RR,LCA_IN_REAR,-1480.0,-175.0,129.529
RR,LCA_OUT,-1540.0,-558.6,130.0
RR,TIE_ROD_IN,-1675.0,-291.0,153.76
RR,TIE_ROD_OUT,-1594.6,-520.81,183.53
RR,WHEEL_CENTER,-1540.0,-600.0,245.0
RR,CONTACT_PATCH,-1540.0,-600.0,0.0
